Namespace,Name,GenParams,ModParams,Interface,Comments,
cgralib,PE,op_kind=“combined”,alu_op : string,data.in[2] : BitIn[16],,
,,,data0_mode : string,data.out : Bit[16],,
,,,data0_value : BitVector<16>,bit.in[3] : BitIn,,
,,,data1_mode : string,bit.out : Bit,,
,,,data1_value : BitVector<16>,,,
,,,lut_value : BitVector<8>,,,
,,,bit0_mode : string,,,
,,,bit1_mode : string,,,
,,,bit2_mode : string,,,
,,,,,,
cgralib,PE,op_kind=“alu”,alu_op : string,data.in[2] : BitIn[16],,
,,,data0_mode : string,data.out : Bit[16],,
,,,data0_value : BitVector<16>,,,
,,,data1_mode : string,,,
,,,data1_value : BitVector<16>,,,
,,,,,,
cgralib,PE,op_kind=“bit”,lut_value : BitVector<8>,bit.in[3] : BitIn,,
,,,bit0_mode : string,bit.out : Bit,,
,,,bit1_mode : string,,,
,,,bit2_mode : string,,,
,,,,,,
,,,,,,
cgralib,IO,,mode : string,in : BitIn[16],mode options:,
,,,,out : Bit[16],"i,o",
,,,,,,
cgralib,BitIO,,mode : string,in : BitIn,mode options:,
,,,,out : Bit,"i,o",
,,,,,,
cgralib,Mem,,mode : string,raddr : BitIn[16],See CGRA_mem.csv,
,,,fifo_depth : int,rdata : Bit[16],,
,,,almost_full_cnt : int,ren : BitIn,,
,,,,waddr : BitIn[16],,
,,,,wdata : BitIn[16],,
,,,,wen : BitIn,,
,,,,almost_full : Bit,,
,,,,valid : Bit,,
,,,,,,
coreir,const,,value : uint,out : Bit[16],Will be depreicated,
,,,,,,
coreir,bitconst,,value : bool,out : Bit,,
,,,,,,
coreir,reg,,init : int,in : BitIn[16],Init will be depreciated,
,,,,out : Bit[16],,
,,,,,,
